station_name,start_trips,end_trips,start_rank,end_rank
South Station - 700 Atlantic Ave.,56123,56003,1,1
Boston Public Library - 700 Boylston St.,41994,42870,2,2
Charles Circle - Charles St. at Cambridge St.,35984,35196,3,3
Beacon St / Mass Ave,35275,33186,4,6
MIT at Mass Ave / Amherst St,33644,34557,5,4
Back Bay / South End Station,32677,29503,6,8
Boylston St. at Arlington St.,32410,34524,7,5
Kenmore Sq / Comm Ave,30835,32036,8,7
The Esplanade - Beacon St. at Arlington St.,28119,26180,9,13
Newbury St / Hereford St,26733,26982,10,10
Rowes Wharf - Atlantic Ave,25880,27596,12,9
