station_name,starts,ends,net_flow
Back Bay / South End Station,32677,29503,3174
Mayor Thomas M. Menino - Government Center,23130,20567,2563
Beacon St / Mass Ave,35275,33186,2089
Tremont St / W Newton St,19340,17341,1999
The Esplanade - Beacon St. at Arlington St.,28119,26180,1939
Aquarium Station - 200 Atlantic Ave.,24288,22666,1622
Columbus Ave. at Mass. Ave.,17829,16284,1545
Kendall T at Main St,17486,15972,1514
Lewis Wharf - Atlantic Ave.,25872,24587,1285
Cross St. at Hanover St.,26622,25496,1126
