start_station,end_station,trip_count
Beacon St / Mass Ave,MIT at Mass Ave / Amherst St,5185
MIT at Mass Ave / Amherst St,Beacon St / Mass Ave,4993
Lewis Wharf - Atlantic Ave.,South Station - 700 Atlantic Ave.,4380
South Station - 700 Atlantic Ave.,Lewis Wharf - Atlantic Ave.,4202
The Esplanade - Beacon St. at Arlington St.,The Esplanade - Beacon St. at Arlington St.,3064
South Station - 700 Atlantic Ave.,Rowes Wharf - Atlantic Ave,3059
Kenmore Sq / Comm Ave,MIT at Mass Ave / Amherst St,2751
Charles Circle - Charles St. at Cambridge St.,Charles Circle - Charles St. at Cambridge St.,2739
Aquarium Station - 200 Atlantic Ave.,South Station - 700 Atlantic Ave.,2713
Boylston St. at Arlington St.,South Station - 700 Atlantic Ave.,2704
